age_group,hrs_2019,hrs_2020
15 - 19 years,0.25,0.38
20 - 24 years,0.21,0.38
25 - 34 years,0.28,0.33
35 - 44 years,0.28,0.29
45 - 54 years,0.23,0.43
55 - 64 years,0.39,0.59
65 - 74 years,0.47,0.58
75+ years,0.57,0.55
