age_group,hrs_2019,hrs_2020
15 - 19 years,1.23,1.88
20 - 24 years,0.91,1.41
25 - 34 years,0.57,0.72
35 - 44 years,0.29,0.33
45 - 54 years,0.22,0.34
55 - 64 years,0.21,0.28
65 - 74 years,0.31,0.4
75+ years,0.42,0.51
