age_group,hrs_2019,hrs_2020
15 - 19 years,1.93,2.54
20 - 24 years,2.24,2.38
25 - 34 years,1.97,2.15
35 - 44 years,1.95,2.14
45 - 54 years,2.41,2.9
55 - 64 years,3.13,3.46
65 - 74 years,4.43,4.42
75+ years,4.52,5.2
