age_group,hrs_2019,hrs_2020
15 - 19 years,5.15,6.4
20 - 24 years,4.86,5.58
25 - 34 years,4.10,4.57
35 - 44 years,3.79,4.03
45 - 54 years,4.22,4.94
55 - 64 years,5.15,5.58
65 - 74 years,6.89,7.09
75+ years,7.46,8.05
