age_group,hrs_2019,hrs_2020
15 - 19 years,0.51,0.62
20 - 24 years,0.65,0.37
25 - 34 years,0.36,0.43
35 - 44 years,0.3,0.38
45 - 54 years,0.25,0.34
55 - 64 years,0.24,0.28
65 - 74 years,0.26,0.37
75+ years,0.21,0.21
