age_group,hrs_2019,hrs_2020
15 - 19 years,0.79,0.6
20 - 24 years,0.56,0.66
25 - 34 years,0.63,0.66
35 - 44 years,0.63,0.55
45 - 54 years,0.63,0.47
55 - 64 years,0.69,0.52
65 - 74 years,0.67,0.43
75+ years,0.74,0.44
