age_group,hrs_2019,hrs_2020
15 - 19 years,0.15,0.14
20 - 24 years,0.11,0.2
25 - 34 years,0.11,0.19
35 - 44 years,0.16,0.2
45 - 54 years,0.26,0.23
55 - 64 years,0.27,0.29
65 - 74 years,0.52,0.72
75+ years,0.82,0.95
